Country,iso3c,Year,OVERALL SCORE
Afghanistan,AFG,2021,28.8
Albania,ALB,2021,45
Algeria,DZA,2021,26.2
Andorra,AND,2021,34.7
Angola,AGO,2021,29.1
Antigua & Barbuda,ATG,2021,30
Argentina,ARG,2021,54.4
Armenia,ARM,2021,61.8
Australia,AUS,2021,71.1
Austria,AUT,2021,56.9
Azerbaijan,AZE,2021,34.7
Bahamas,BHS,2021,30.1
Bahrain,BHR,2021,36.3
Bangladesh,BGD,2021,35.5
Barbados,BRB,2021,34.9
Belarus,BLR,2021,43.9
Belgium,BEL,2021,59.3
Belize,BLZ,2021,29.7
Benin,BEN,2021,25.4
Bhutan,BTN,2021,39.8
Bolivia,BOL,2021,29.9
Bosnia and Hercegovina,BIH,2021,35.4
Botswana,BWA,2021,33.6
Brazil,BRA,2021,51.2
Brunei,BRN,2021,43.5
Bulgaria,BGR,2021,59.9
Burkina Faso,BFA,2021,29.8
Burundi,BDI,2021,22.1
Cabo Verde,CPV,2021,34.1
Cambodia,KHM,2021,31.1
Cameroon,CMR,2021,28.6
Canada,CAN,2021,69.8
Central African Republic,CAF,2021,18.6
Chad,TCD,2021,23.9
Chile,CHL,2021,56.2
China,CHN,2021,47.5
Colombia,COL,2021,53.2
Comoros,COM,2021,24.9
Congo (Brazzaville),COG,2021,26.3
Congo (Democratic Republic),COD,2021,26.1
Cook Islands,COK,2021,23.9
Costa Rica,CRI,2021,40.8
Côte d'Ivoire,CIV,2021,31.2
Croatia,HRV,2021,48.8
Cuba,CUB,2021,30.5
Cyprus,CYP,2021,41.9
Czech Republic,CZE,2021,52.8
Denmark,DNK,2021,64.4
Djibouti,DJI,2021,25.2
Dominica,DMA,2021,26.4
Dominican Republic,DOM,2021,34.5
Ecuador,ECU,2021,50.8
Egypt,EGY,2021,28
El Salvador,SLV,2021,40.8
Equatorial Guinea,GNQ,2021,17.4
Eritrea,ERI,2021,21.4
Estonia,EST,2021,55.5
eSwatini,SWZ,2021,29.3
Ethiopia,ETH,2021,37.8
Fiji,FJI,2021,25.8
Finland,FIN,2021,70.9
France,FRA,2021,61.9
Gabon,GAB,2021,21.8
Gambia,GMB,2021,28.7
Georgia,GEO,2021,52.6
Germany,DEU,2021,65.5
Ghana,GHA,2021,34.3
Greece,GRC,2021,51.5
Grenada,GRD,2021,26.7
Guatemala,GTM,2021,29.1
Guinea,GIN,2021,26.8
Guinea-Bissau,GNB,2021,21.4
Guyana,GUY,2021,30.8
Haiti,HTI,2021,30.4
Honduras,HND,2021,26.2
Hungary,HUN,2021,54.4
Iceland,ISL,2021,48.5
India,IND,2021,42.8
Indonesia,IDN,2021,50.4
Iran,IRN,2021,36.5
Iraq,IRQ,2021,24
Ireland,IRL,2021,55.3
Israel,ISR,2021,47.2
Italy,ITA,2021,51.9
Jamaica,JAM,2021,31.8
Japan,JPN,2021,60.5
Jordan,JOR,2021,42.8
