"iso3c","number_surveys","avg_mean_welfare","mean_welfare"
"AGO",3,6.456755987529333,5.482150726198
"ALB",15,10.946034089770466,13.952189784018
"ARE",2,75.61342670581601,78.775902824465
"ARM",23,7.223395670564,7.779151680968
"AUS",11,51.826237029495545,64.60964342099
"AUT",25,58.77480626520616,66.339931919189
"AZE",6,7.809069631642333,9.718767621881
"BDI",4,1.9393787667265,2.290275519087
"BEL",24,51.53795854194367,58.747815026027
"BEN",4,3.35408740422825,4.658511325845
"BFA",6,2.788378053145667,4.284381086729
"BGD",10,3.5341394981532,4.94159132302
"BGR",23,18.208723390279,30.879647265032
"BIH",4,19.3148408063165,21.184617775418
"BLR",25,11.97062034408848,19.265026105785
"BLZ",7,9.430195866336714,7.767159589281
"BOL",22,16.42806877092359,19.54968931414
"BRA",36,14.596355224849944,19.177967347834
"BTN",5,9.9308978270544,15.759624708841
"BWA",5,8.1275938866812,8.821087239545
"CAF",3,2.2487896523986666,2.240665198585
"CAN",37,53.91947374157084,65.732752486324
"CHE",17,74.6482251199643,77.102885152901
"CHL",15,16.747923004672266,25.487513164738
"CHN",20,7.48513229442365,13.622096673524
"CIV",11,5.372009658555363,5.659880510153
"CMR",4,4.5388297244585,5.752897808256
"COD",2,1.51287148686,2.024651364755
"COG",2,3.990714386137,4.591497235482
"COL",23,12.758681343283044,14.160043607941
"COM",2,7.5555730645285,6.423948174162
"CPV",3,8.385468342416,9.503320744684
"CRI",35,18.371043887475572,24.463997424679
"CYP",17,49.63168344922723,52.928315892889
"CZE",21,30.626282358189858,40.036657112057
"DEU",29,56.73468269023769,65.880200058918
"DJI",4,5.2922069405985,5.443802427154
"DNK",22,56.32461626654536,64.51866426108
"DOM",27,12.887895161374777,14.043610863981
"DZA",3,7.933580379507,9.225503374228
"ECU",23,12.975389517458174,15.202878975533
"EGY",10,6.2866653259437,6.758395642056
"ESP",28,38.98520686822736,46.999418919436
"EST",26,23.506300145452617,42.843026118375
"ETH",5,2.992644946153,3.738985837718
"FIN",22,51.21098415393827,58.823315372559
"FJI",4,9.860554459334999,7.907094894156
"FRA",27,52.35078643187074,57.396930333602
"FSM",2,6.7740689026985,5.557104227027
"GAB",2,10.5532740233355,12.336922828205
"GBR",39,44.345342741077204,54.885972858865
"GEO",26,6.542579579752154,7.546757688969
"GHA",7,3.278531142490286,5.089204458909
"GIN",6,3.1877193219096664,4.398163346041
"GMB",5,3.9681892129702,5.084615631608
"GNB",5,3.4855190430158,4.206295692692
"GRC",20,31.747490060957,28.807537303626
"GTM",6,9.005729604873833,9.400288583144
"GUY",2,6.7759713820895,8.365285905337
"HND",30,8.829883704193266,10.12391792212
"HRV",21,25.648834710114002,30.291763376155
"HTI",3,3.465006164181,4.23825921632
"HUN",33,19.11317581699191,29.920024900054
"IDN",30,4.603676286034934,7.805834767018
"IND",13,3.938904781254231,4.89838647164
"IRL",24,43.88708146593325,58.019335148817
"IRN",14,14.037987413178143,14.452303105461
"IRQ",2,10.9883566464945,11.30091101162
"ISL",15,54.07966228524214,62.975197359631
"ISR",21,31.289807202346285,40.959500971215
"ITA",26,44.20680466464962,49.760409276126
"JAM",7,11.622555422928857,15.205788564917
"JOR",7,14.717621430917571,16.924390371836
"JPN",3,48.17988773780833,49.759407790675
"KAZ",20,9.3032393242171,12.426412877866
"KEN",7,4.621437789343,3.591901926841
"KGZ",22,5.538910481377045,6.453587246912
"KIR",2,5.8994708486605,6.249744875128
"KOR",6,39.048181579309166,43.208932043409
"LAO",6,4.473824387175666,6.521311868879
"LBN",1,30.7860781639,30.7860781639
"LBR",3,3.4259678211433333,3.883071562756
"LCA",2,11.856655836941,20.053469267037
"LKA",9,6.6333045428108885,9.248450092547
"LSO",4,3.67539912525875,4.643397074613
"LTU",27,21.179350693518927,43.674471551939
"LUX",36,72.10279640214273,93.327793851953
"LVA",28,19.96579078033668,35.502269485927
"MAR",6,7.645597120123,10.565215796051
"MDA",24,8.969774855747126,12.111857085665
"MDG",7,1.9266649595145715,1.590663091386
"MDV",4,13.479437542085499,18.690467075709
"MEX",18,12.481919924909445,13.972700796946
"MHL",1,11.563809818838,11.563809818838
"MKD",19,12.304042057007422,14.949108156664
"MLI",5,2.9246823478702,4.926420606019
"MLT",15,44.04277191054107,56.989328587887
"MMR",2,6.497320251601,6.579838943327
"MNE",17,16.80602365831,16.97131006548
"MNG",10,8.118716511138,9.861786649845
"MOZ",5,2.0904166026188,2.102977999442
"MRT",7,4.855000945108285,6.306488486157
"MUS",3,14.873974120033333,16.509262765519
"MWI",5,2.7294621850684,2.069362850278
"MYS",13,19.236819094368922,32.811520145773
"NAM",4,8.51179386902125,11.654413828876
"NER",7,2.015254648436,2.851470197245
"NGA",8,3.247629168386,3.655930118872
"NIC",10,7.1893682502169,11.715201078975
"NLD",22,53.92196616952714,64.174782881795
"NOR",21,61.089391487388475,74.058841795863
"NPL",4,3.4043257259104998,5.193471280501
"NRU",1,6.968660817389,6.968660817389
"PAK",13,3.7977753907205387,4.975486051883
"PAN",27,21.921571203625298,30.866828631275
"PER",27,10.751148138612482,12.087450443573
"PHL",21,6.650030121032429,6.556416667071
"PNG",2,3.250842077685,3.470755601401
"POL",47,19.375706563937957,20.499294694592
"PRT",18,31.208917403426558,36.5825066984
"PRY",26,16.221425824897462,18.456874725355
"PSE",8,13.578831411442625,13.825652817219
"ROU",38,11.095852781950631,24.066899896152
"RUS",31,20.81752435436384,22.530160618353
"RWA",5,2.7897827853062,3.086795568976
"SDN",2,4.618928459727,4.563741865573
"SEN",6,3.4010993908945,5.981558480486
"SLB",2,3.6165598912015,4.024132832482
"SLE",4,2.91665928153775,3.885994758315
"SLV",28,10.263858202651857,13.102626459667
"SRB",22,14.661602627033545,19.229250670748
"SSD",2,3.2973987998600003,2.150079633503
"STP",3,4.482461421023,5.461850900356
"SVK",24,20.401309328861,26.043639309179
"SVN",24,35.57589365381704,45.595101400439
"SWE",23,47.48441246295478,58.807609518512
"SWZ",4,3.59264046765025,5.632313921409
"SYC",4,21.21357710213325,22.251561400552
"SYR",2,8.3466410930395,9.303087476603
"TCD",3,3.3780166767013333,3.813031819573
"TGO",4,3.11961308692625,4.547689357589
"THA",26,12.395432273776347,16.621634868546
