"iso3c","date","SCI","SCI_rank"
"MEX",2016,98.8889,1
"PER",2014,98.8888888888889,1
"KGZ",2019,96.6666666666667,1
"ROU",2006,96.6666666666667,1
"ROU",2007,96.6666666666667,1
"ROU",2008,96.6666666666667,1
"ARG",2015,95.5555666666667,2
"CHL",2015,95.5555666666667,2
"CHL",2016,95.5555666666667,2.5
"KAZ",2017,95.5555666666667,1
"MDA",2015,95.5555666666667,2
"MDA",2016,95.5555666666667,2.5
"CHL",2013,95.5555555555556,1
"CHL",2014,95.5555555555556,2
"GEO",2010,95.5555555555556,1.5
"GEO",2011,95.5555555555556,1.5
"ROU",2009,95.5555555555556,1
"ROU",2010,95.5555555555556,1.5
"ROU",2011,95.5555555555556,1.5
"HRV",2004,95.5555555555555,1
"HRV",2005,95.5555555555555,1
"KAZ",2007,95.5555555555555,2
"KAZ",2008,95.5555555555555,2
"KAZ",2010,95.5555555555555,3.5
"URY",2010,95.5555555555555,3.5
"ARM",2020,94.4444666666667,1
"CHL",2007,94.4444444444445,3
"HRV",2006,94.4444444444445,2
"BGR",2008,94.4444444444444,3.5
"CHL",2010,94.4444444444444,5
"CHL",2011,94.4444444444444,3.5
"CHL",2012,94.4444444444444,2.5
"GEO",2012,94.4444444444444,2.5
"KAZ",2009,94.4444444444444,2
"KAZ",2012,94.4444444444444,2.5
"KAZ",2013,94.4444444444444,2.5
"KGZ",2008,94.4444444444444,3.5
"MDA",2013,94.4444444444444,2.5
"MDA",2014,94.4444444444444,3
"URY",2011,94.4444444444444,3.5
"URY",2012,94.4444444444444,2.5
"ARM",2018,93.3333666666667,1
"ARM",2019,93.3333666666667,2
"MUS",2015,93.3333666666667,4
"MEX",2017,93.3333666666667,2
"ARM",2009,93.3333333333333,3
"ARM",2015,93.3333333333333,5.5
"BGR",2006,93.3333333333333,3
"BGR",2007,93.3333333333333,4
"CHL",2017,93.3333333333333,3.5
"KAZ",2018,93.3333333333333,2.5
"KGZ",2018,93.3333333333333,2.5
"MEX",2019,93.3333333333333,3
"PER",2004,93.3333333333333,2
"PER",2015,93.3333333333333,5.5
"PER",2016,93.3333333333333,4
"ROU",2005,93.3333333333333,2
"SRB",2017,93.3333333333333,3.5
"SRB",2014,92.3333333333333,4
"ARM",2016,92.2222333333333,6
"SLV",2016,92.2222333333333,6
"SLV",2017,92.2222333333333,5.5
"KAZ",2016,92.2222333333333,6
"MEX",2015,92.2222333333333,7
"MDA",2017,92.2222333333333,5.5
"MDA",2018,92.2222333333333,4
"MNG",2020,92.2222333333333,2
"ARG",2004,92.2222222222222,3
"ARM",2008,92.2222222222222,6.5
"ARM",2010,92.2222222222222,6
"ARM",2011,92.2222222222222,5.5
"CHL",2008,92.2222222222222,6.5
"CHL",2009,92.2222222222222,5
"GEO",2013,92.2222222222222,4.5
"KAZ",2011,92.2222222222222,5.5
"PHL",2008,92.2222222222222,6.5
"PHL",2009,92.2222222222222,5
"ROU",2012,92.2222222222222,5.5
"UKR",2012,92.2222222222222,5.5
"URY",2008,92.2222222222222,6.5
"URY",2009,92.2222222222222,5
"URY",2013,92.2222222222222,4.5
"EGY",2015,91.1111333333333,8.5
"SLV",2015,91.1111333333333,8.5
"IND",2017,91.1111333333333,7
"MUS",2016,91.1111333333333,8
"MNG",2019,91.1111333333333,4
"BRA",2007,91.1111111111111,6
"BGR",2009,91.1111111111111,7.5
"BGR",2010,91.1111111111111,7.5
"BGR",2011,91.1111111111111,7
"BGR",2012,91.1111111111111,8
"CHL",2004,91.1111111111111,4
"CHL",2005,91.1111111111111,3.5
"CHL",2006,91.1111111111111,4.5
"EGY",2006,91.1111111111111,4.5
"SLV",2010,91.1111111111111,7.5
"SLV",2012,91.1111111111111,8
"SLV",2013,91.1111111111111,7
"SLV",2014,91.1111111111111,5.5
"KGZ",2005,91.1111111111111,3.5
"KGZ",2007,91.1111111111111,6
